,model,dataset,accuracy
0,nih_1_model,z33,0.7858
1,nih_1_model,z10,0.5846
2,nih_1_model,z5,0.5392
3,nih_1_model,nov,0.6763
4,nih_1_narrow_model,z33,0.5403
5,nih_1_narrow_model,z10,0.5147
6,nih_1_narrow_model,z5,0.5119
7,nih_1_narrow_model,nov,0.4992
8,nih_05_model,z33,0.5324
9,nih_05_model,z10,0.5029
10,nih_05_model,z5,0.5007
11,nih_05_model,nov,0.5005
12,novoa_1_model,z33,0.5349
13,novoa_1_model,z10,0.5017
14,novoa_1_model,z5,0.5016
15,novoa_1_model,nov,0.996
16,novoa_1_narrow_model,z33,0.5712
17,novoa_1_narrow_model,z10,0.5109
18,novoa_1_narrow_model,z5,0.5147
19,novoa_1_narrow_model,nov,0.9715
20,novoa_05_model,z33,0.505
21,novoa_05_model,z10,0.5009
22,novoa_05_model,z5,0.4996
23,novoa_05_model,nov,0.994
24,novoa_shapelets,nov,0.62
25,novoa_shapelets,z33,0.534
26,nih_shapelets,nov,0.614
27,nih_shapelets,z33,0.55
28,novoa_SVC,nov,0.91
29,novoa_SVC,z33,0.517
30,nih_SVC,nov,0.525
31,nih_SVC,z33,0.851
32,novoa_knn,nov,0.8
33,novoa_knn,z33,0.519
34,nih_knn,nov,0.527
35,nih_knn,z33,0.737
36,novoa_kmeans_dtw,nov,0.57
37,novoa_kmeans_dtw,z33,0.48
38,nih_kmeans_dtw,nov,0.49
39,nih_kmeans_dtw,z33,0.54
